
Popular names of the 1980s
Males	Females
Rank	Name	Number	Name	Number
1	Michael	663522	Jessica	469426
2	Christopher	554764	Jennifer	440829
3	Matthew	458864	Amanda	369690
4	Joshua	396527	Ashley	352137
5	David	383578	Sarah	272536
6	James	356338	Stephanie	218118
7	Daniel	345390	Melissa	217889
8	Robert	321575	Nicole	210445
9	John	320988	Elizabeth	198926
10	Joseph	299345	Heather	191830
11	Jason	291999	Tiffany	158604
12	Justin	289737	Michelle	153974
13	Andrew	284999	Amber	153926
14	Ryan	278842	Megan	153494
15	William	248231	Amy	150643
16	Brian	233958	Rachel	146654
17	Brandon	232168	Kimberly	146435
18	Jonathan	229884	Christina	145976
19	Nicholas	223264	Lauren	145128
20	Anthony	211794	Crystal	140997
21	Eric	204181	Brittany	140830
22	Adam	195022	Rebecca	136211
23	Kevin	188620	Laura	134553
24	Thomas	177726	Danielle	134349
25	Steven	177385	Emily	131741
26	Timothy	172807	Samantha	121115
27	Richard	154695	Angela	116580
28	Jeremy	153414	Erin	115809
29	Jeffrey	144770	Kelly	109535
30	Kyle	141902	Sara	104638
31	Benjamin	141319	Lisa	102594
32	Aaron	138326	Katherine	99147
33	Charles	131851	Andrea	98234
34	Mark	129362	Jamie	96545
35	Jacob	124170	Mary	95828
36	Stephen	113589	Erica	93139
37	Patrick	111356	Courtney	84296
38	Scott	108159	Kristen	83220
39	Nathan	105951	Shannon	78410
40	Paul	104333	April	75937
41	Sean	103816	Katie	72847
42	Travis	102907	Lindsey	71933
43	Zachary	101804	Kristin	70550
44	Dustin	97304	Lindsay	68480
45	Gregory	93645	Christine	67994
46	Kenneth	89107	Alicia	66957
47	Jose	86574	Vanessa	65704
48	Tyler	86432	Maria	65648
49	Jesse	85895	Kathryn	62434
50	Alexander	81922	Allison	62322
51	Bryan	80485	Julie	61680
52	Samuel	73394	Anna	57276
53	Derek	72891	Tara	56328
54	Bradley	69338	Kayla	55284
55	Chad	69046	Natalie	54414
56	Shawn	65571	Victoria	53245
57	Edward	60798	Monica	51850
58	Jared	60282	Jacqueline	51549
59	Cody	60262	Holly	49648
60	Jordan	57134	Kristina	45941
61	Peter	56656	Patricia	45118
62	Corey	53600	Cassandra	44900
63	Keith	52631	Brandy	44518
64	Marcus	51769	Whitney	44369
65	Juan	51394	Chelsea	43156
66	Donald	50846	Brandi	42884
67	Ronald	46660	Catherine	42409
68	Phillip	45688	Cynthia	41658
69	George	45671	Kathleen	39397
70	Cory	44346	Veronica	39218
71	Joel	43552	Leslie	38712
72	Shane	43154	Natasha	38199
73	Douglas	41740	Krystal	37493
74	Antonio	41593	Stacy	36989
75	Raymond	41495	Diana	36880
76	Carlos	41461	Erika	36837
77	Brett	41275	Dana	36811
78	Gary	40228	Jenna	36585
79	Alex	38674	Meghan	36199
80	Nathaniel	38635	Carrie	36081
81	Craig	38089	Leah	36040
82	Ian	37761	Melanie	35933
83	Luis	37394	Brooke	34978
84	Derrick	36342	Karen	34904
85	Erik	36331	Alexandra	34784
86	Casey	35974	Valerie	34620
87	Philip	35702	Caitlin	33595
88	Frank	33571	Julia	33329
89	Evan	32474	Alyssa	32952
90	Gabriel	32296	Jasmine	32938
91	Victor	32253	Hannah	32681
92	Vincent	32033	Stacey	32126
93	Austin	31280	Brittney	31530
94	Larry	31277	Susan	30533
95	Brent	31269	Margaret	30346
96	Seth	31125	Sandra	30016
97	Wesley	31084	Candice	29845
98	Dennis	30451	Latoya	29533
99	Todd	30321	Bethany	29341
100	Christian	30236	Misty	29114
101	Curtis	29897	Katrina	28826
102	Jeffery	29576	Tracy	28489
103	Randy	29504	Casey	27915
104	Jeremiah	28326	Kelsey	27748
105	Adrian	28119	Kara	27501
106	Jesus	27369	Nichole	27233
107	Luke	27025	Alison	27012
108	Alan	26802	Heidi	26375
109	Trevor	26683	Alexis	26309
110	Russell	26643	Molly	25883
111	Mario	26382	Tina	25833
112	Lucas	26076	Pamela	25737
113	Jerry	25748	Rachael	25663
114	Miguel	25527	Nancy	25474
115	Carl	25453	Jillian	25444
116	Blake	25383	Candace	25160
117	Cameron	24591	Denise	25112
118	Troy	24535	Sabrina	24628
119	Mitchell	24528	Gina	24446
120	Tony	24479	Renee	24414
121	Shaun	24468	Jill	24406
122	Terry	24160	Kendra	24383
123	Johnny	23493	Morgan	24282
124	Martin	23205	Brenda	24137
125	Ricardo	23070	Monique	23886
126	Bobby	22020	Teresa	23400
127	Johnathan	21896	Krista	22862
128	Allen	21894	Linda	22806
129	Jorge	21708	Miranda	22716
130	Devin	21701	Robin	22692
131	Andre	21574	Dawn	22405
132	Henry	20714	Kristy	22384
133	Billy	20649	Theresa	22381
134	Caleb	20636	Tanya	22298
135	Marc	20517	Wendy	22265
136	Garrett	20469	Melinda	22211
137	Ricky	20150	Joanna	22195
138	Kristopher	20068	Anne	22106
139	Francisco	20062	Felicia	21941
140	Danny	20008	Desiree	21811
141	Manuel	19976	Jaclyn	21798
142	Lee	19780	Alisha	21746
143	Lawrence	19629	Lori	21642
144	Jonathon	19582	Tamara	21222
145	Jimmy	19518	Marissa	21102
146	Lance	19449	Kelli	21049
147	Taylor	19410	Lacey	20775
148	Randall	19324	Abigail	20638
149	Micheal	18732	Christy	20225
150	Mathew	18619	Jenny	19713
151	Albert	18493	Tabitha	19574
152	Jamie	18409	Colleen	19458
153	Isaac	18360	Meredith	19195
154	Roger	17990	Barbara	19118
155	Rodney	17868	Angelica	19072
156	Roberto	17808	Carolyn	18631
157	Jon	17700	Rebekah	18315
158	Colin	17665	Ebony	18259
159	Walter	17569	Deanna	18150
160	Clinton	17527	Tonya	17986
161	Louis	17343	Caroline	17932
162	Clayton	16920	Kristi	17706
163	Willie	16892	Kari	17544
164	Arthur	16781	Michele	17262
165	Chase	16545	Brianna	17130
166	Joe	16504	Bridget	17098
167	Jack	15900	Angel	16740
168	Jay	15812	Marie	16520
169	Angel	15786	Sharon	16496
170	Calvin	15774	Tasha	16257
171	Ross	15710	Sheena	16255
172	Darren	15689	Meagan	16248
173	Oscar	15644	Jaime	16210
174	Drew	15581	Cindy	16017
175	Maurice	15571	Priscilla	16002
176	Gerald	15508	Ann	15927
177	Alejandro	15286	Ashlee	15849
178	Spencer	15171	Stefanie	15829
179	Hector	15093	Cassie	15758
180	Ruben	14845	Adrienne	15668
181	Wayne	14739	Tammy	15648
182	Brendan	14582	Ana	15496
183	Grant	14507	Beth	15372
184	Javier	14470	Dominique	15097
185	Bruce	14322	Latasha	15034
186	Roy	14294	Cristina	15020
187	Dylan	14164	Mallory	14995
188	Logan	13979	Virginia	14986
189	Edwin	13905	Deborah	14776
190	Omar	13666	Audrey	14656
191	Brad	13572	Katelyn	14641
192	Reginald	13497	Regina	14579
193	Fernando	13183	Carla	14446
194	Darrell	13160	Cheryl	14320
195	Sergio	13137	Olivia	14023
196	Frederick	13048	Autumn	13823
197	Julian	12921	Jordan	13787
198	Jaime	12844	Claudia	13783
199	Jermaine	12801	Nina	13621
200	Geoffrey	12724	Taylor	13609
